religion,politics,college_educated,parents,homeowner,gender,age,income,area,true_conversion,predicted_conversion
Christianity,Environmentalism,1,1,1,M,55-64,<100K,Urban,0,0
Other,Communism,1,1,1,M,55-64,<100K,Urban,0,0
Other,Conservative,1,1,1,F,55-64,<100K,Urban,0,0
Other,Moderate,1,1,1,F,55-64,>100K,Urban,0,0
Christianity,Communism,1,1,1,M,55-64,<100K,Rural,0,0
Christianity,Environmentalism,1,1,0,M,55-64,<100K,Rural,0,0
Christianity,Communism,1,1,1,F,55-64,>100K,Urban,0,0
Christianity,Environmentalism,1,1,1,M,55-64,>100K,Rural,0,0
Christianity,Communism,1,1,1,F,25-34,<100K,Urban,0,0
Christianity,Moderate,1,1,1,F,55-64,>100K,Rural,0,0
Other,Moderate,1,1,1,F,55-64,<100K,Rural,0,0
Other,Environmentalism,1,1,0,F,55-64,<100K,Rural,0,0
Other,Moderate,1,1,1,F,55-64,<100K,Urban,0,0
Other,Environmentalism,1,1,1,F,55-64,<100K,Urban,0,0
Other,Moderate,1,1,1,M,55-64,<100K,Urban,0,0
Christianity,Moderate,1,1,1,M,55-64,>100K,Rural,0,0
Other,Moderate,1,1,1,M,55-64,<100K,Rural,0,0
Christianity,Moderate,1,1,0,F,55-64,>100K,Rural,0,0
Other,Environmentalism,1,1,1,F,55-64,>100K,Rural,0,0
Christianity,Communism,1,1,1,M,55-64,>100K,Urban,0,0
Other,Communism,1,1,1,M,55-64,>100K,Rural,0,0
Christianity,Moderate,1,1,1,F,45-54,<100K,Rural,0,0
Other,Environmentalism,1,0,0,F,55-64,<100K,Rural,0,0
Other,Moderate,1,1,1,F,55-64,>100K,Urban,0,0
Other,Liberal,1,1,1,M,55-64,<100K,Urban,0,0
Christianity,Moderate,1,1,1,F,55-64,<100K,Urban,0,0
Christianity,Conservative,1,1,1,M,45-54,<100K,Rural,0,0
Christianity,Environmentalism,1,1,1,M,55-64,>100K,Rural,0,0
Other,Liberalism,1,0,1,F,55-64,>100K,Rural,0,0
Other,Conservatism,1,1,1,M,45-54,>100K,Rural,0,0
Other,Communism,1,0,1,F,55-64,>100K,Urban,0,0
Christianity,Environmentalism,1,1,1,M,18-24,>100K,Urban,0,0
Christianity,Moderate,1,0,1,M,55-64,>100K,Urban,0,0
Christianity,Moderate,1,1,0,M,55-64,<100K,Urban,0,0
Christianity,Environmentalism,0,1,1,F,55-64,<100K,Urban,0,0
Christianity,Conservative,1,1,0,M,55-64,<100K,Urban,0,0
Christianity,Conservatism,1,1,1,M,55-64,>100K,Urban,0,0
Christianity,Environmentalism,0,1,1,F,55-64,<100K,Urban,0,0
Other,Conservative,1,1,1,M,55-64,<100K,Rural,0,0
Other,Environmentalism,1,0,1,M,55-64,>100K,Urban,0,0
Christianity,Conservatism,1,0,1,F,55-64,<100K,Urban,0,0
Other,Environmentalism,1,1,1,M,45-54,<100K,Rural,0,0
Christianity,Moderate,1,1,0,M,55-64,>100K,Urban,0,0
Christianity,Environmentalism,0,1,0,M,55-64,>100K,Urban,0,0
Other,Environmentalism,0,1,1,F,55-64,>100K,Urban,0,0
Christianity,Conservatism,1,1,1,F,55-64,<100K,Rural,0,0
Other,Moderate,1,1,1,F,55-64,>100K,Urban,0,0
Christianity,Communism,1,1,1,F,55-64,<100K,Urban,0,0
Other,Environmentalism,0,1,0,M,55-64,>100K,Rural,0,0
Other,Environmentalism,1,1,1,M,55-64,<100K,Rural,0,0
Other,Conservative,0,1,1,F,18-24,>100K,Urban,0,0
Christianity,Liberal,1,0,1,F,55-64,<100K,Urban,0,0
Other,Environmentalism,0,1,1,M,55-64,>100K,Rural,0,0
Christianity,Conservative,1,1,1,M,55-64,<100K,Rural,0,0
Christianity,Moderate,1,1,1,M,55-64,>100K,Urban,0,0
